k, sum of Distances, Cluster Dispersion, Least Dispersion
3, 2719.48031495, 1.00027219986, 7.5e-05
4, 2685.73639121, 1.02847354504, 0.000177777777778
5, 2638.4998582, 2.01028136478, 0.000347222222222
6, 2612.97822064, 3.00514034433, 0.0006
7, 2473.01297638, 3.00481946588, 0.000952777777778
8, 2418.79069675, 4.0109332102, 0.00142222222222
9, 2419.33694073, 6.00088445977, 0.002025
10, 2378.1877246, 7.00090085366, 0.00277777777778
11, 2357.54946874, 7.0409799909, 0.00369722222222
12, 2286.00903269, 7.01495333057, 0.0048
13, 2300.69218312, 9.0170692708, 0.00610277777778
14, 2230.15239615, 9.01921581079, 0.00762222222222
15, 2195.93123965, 9.02837644188, 0.009375
16, 2229.22522252, 12.251444216, 0.0113777777778
17, 2138.23534539, 11.1245692327, 0.0136472222222
18, 2111.77723087, 11.1476007676, 0.0162
19, 2091.38018014, 13.1343906824, 0.0190527777778
20, 2047.94841776, 13.1386414459, 0.0222222222222
21, 2038.05121416, 15.1251245583, 0.025725
22, 2016.76530651, 17.1220828234, 0.0295777777778
23, 1977.62393755, 16.2384433335, 0.0337972222222
24, 1962.27391086, 17.156128191, 0.0384
25, 1938.21213214, 17.2126633498, 0.0434027777778
26, 1904.90183106, 19.1657908099, 0.0488222222222
27, 1886.30423289, 18.4196071594, 0.054675
28, 1845.02824239, 18.4248508636, 0.0609777777778
29, 1829.27311978, 21.1664769735, 0.0677472222222
30, 1800.12050053, 22.1767934231, 0.075
31, 1793.83004484, 19.809903682, 0.0827527777778
32, 1751.9776282, 23.1678968913, 0.0910222222222
33, 1740.95484826, 22.5546864645, 0.099825
34, 1716.60146361, 22.5946519788, 0.109177777778
35, 1700.26228222, 25.5412988256, 0.119097222222
36, 1676.4540046, 25.4779049603, 0.1296
37, 1663.74669041, 25.5785038549, 0.140702777778
38, 1639.73046981, 25.7486342127, 0.152422222222
39, 1622.34546969, 27.6395585655, 0.164775
40, 1607.99063974, 29.5646342842, 0.177777777778
41, 1588.85982871, 28.7080734666, 0.191447222222
42, 1550.37951146, 28.7769036298, 0.2058
43, 1526.5247595, 29.7424869737, 0.220852777778
44, 1511.11317091, 30.8482163815, 0.236622222222
45, 1474.65443039, 28.8943294969, 0.253125
46, 1494.66168383, 32.7579541703, 0.270377777778
47, 1447.39976003, 32.9388637558, 0.288397222222
48, 1449.09904998, 33.8622876131, 0.3072
49, 1419.88804888, 32.9288754468, 0.326802777778
50, 1410.02533144, 35.1026921267, 0.347222222222
51, 1412.68645134, 36.9943099491, 0.368475
52, 1352.53617594, 35.053132628, 0.390577777778
53, 1362.41337875, 36.29544721, 0.413547222222
54, 1344.91396469, 39.8440898015, 0.4374
55, 1337.26671711, 37.4932190049, 0.462152777778
56, 1278.57805507, 39.2349053105, 0.487822222222
57, 1278.4555966, 40.1908003261, 0.514425
58, 1244.59278981, 40.9892663947, 0.541977777778
59, 1228.9148208, 42.1931630344, 0.570497222222
