TargetID,WGAAD-144,WGAAD-148,WGAAD-15,WGAAD-156,WGAAD-158,WGAAD-165,WGAAD-166,WGAAD-171,WGAAD-175,WGAAD-178,WGAAD-179,WGAAD-18,WGAAD-184,WGAAD-186,WGAAD-187,WGAAD-188,WGAAD-189,WGAAD-190
GI_10047091-S,4076.1,3296,4868.8,4097.8,5481.3,4790.9,1182.8,1246.5,2103.1,2741.2,3223.9,3878.1,7223.1,4705.5,3123.7,3516.9,1302.6,674.3
GI_10047093-S,73.9,83.6,68.9,78,83.5,69.9,80.2,65.5,82.3,70,111.5,85.6,134,123.9,52.7,64,89.5,NaN
GI_10047103-S,1088,1091.5,1462.5,1414.7,1250.5,1114.4,955,1035.7,1226.2,1274.9,1120.9,1254.5,961,986.7,1134.5,1182.2,1357.9,1323.9
GI_10047133-A,116.5,142.1,119.8,83.6,118.5,113.3,74.1,61.8,36.1,66.7,108.2,109.7,137.2,130.7,58.4,94.3,NaN,NaN
GI_10092596-S,263.3,196.7,253.6,214.3,109.5,209.6,170.2,176.9,159.7,223.5,177.2,234.1,312,185.8,198,265.7,178.2,227.8
GI_10092600-S,339.9,819.3,534.6,545.6,468.8,509.7,600.1,528.1,785.5,473.4,448.8,580.7,1351.4,550.4,564.6,800.4,627.8,452.9
GI_10092616-S,171.9,220.3,183.4,121.2,82.7,169.5,145.9,133.6,157.1,138,187.1,153.6,170.6,152.4,122.4,206.8,144.5,160.8
GI_10092618-S,1311.3,1264.9,1666.5,1122.8,728.9,868.5,1437,1153.4,1100.7,1435.6,748.6,1274.6,396.3,836.9,1228.8,1774.7,1518.6,1905.3
GI_10092672-S,315.4,181.9,229,225.2,400.3,227,138.9,156,151,162.2,175.6,190.8,178.4,271.4,167.6,180.1,188.7,252.7
GI_10190705-S,139.4,169.7,139.3,97.4,129.2,121.8,203.6,136.2,170.3,164.1,159.9,150.7,164.8,156.8,117.4,189.8,259.6,111.7
GI_10190745-S,55.2,NaN,NaN,49.4,77,28.8,36.9,24.9,50.4,63.8,73.9,69.4,73.6,137.1,54.7,52.8,NaN,NaN
